ディープインパクト(1位),サンデーサイレンス,ウインドインハーヘア,Burgclere,Alzao,Wishing Well,Halo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere
ロードカナロア(2位),キングカメハメハ,レディブラッサム,サラトガデュー,Storm Cat,マンファス,Kingmambo,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm Bird,Terlingua,Cormorant,Super Luna
ハーツクライ(3位),サンデーサイレンス,アイリッシュダンス,ビューバーダンス,トニービン,Wishing Well,Halo,Hail to Reason,Cosmah,Understanding,Mountain Flower,カンパラ,Severn Bridge,Lyphard,My Bupers
キズナ(4位),ディープインパクト,キャットクイル,Pacific Princess,Storm Cat,ウインドインハーヘア,サンデーサイレンス,Halo,Wishing Well,Alzao,Burghclere,Storm Bird,Terlingua,Damascus,Fiji
ルーラーシップ(5位),キングカメハメハ,エアグルーヴ,ダイナカール,トニービン,マンファス,Kingmambo,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,カンパラ,Severn Bridge,ノーザンテースト,シャダイフェザー
キングカメハメハ(6位),Kingmambo,マンファス,Pilot Bird,ラストタイクーン,Miesque,Mr. Prospector,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer
オルフェーヴル(7位),ステイゴールド,オリエンタルアート,エレクトロアート,メジロマックイーン,ゴールデンサッシュ,サンデーサイレンス,Halo,Wishing Well,ディクタス,ダイナサッシュ,メジロティターン,メジロオーロラ,ノーザンテースト,グランマスティーヴンス
エピファネイア(8位),シンボリクリスエス,シーザリオ,キロフプリミエール,スペシャルウィーク,Tee Kay,Kris S.,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida
ヘニーヒューズ(9位),ヘネシー,Meadow Flyer,Shortley,Meadowlake,Island Kitty,Storm Cat,Storm Bird,Terlingua,Hawaii,T. C. Kitten,Hold Your Peace,Suspicious Native,Hagley,Short Winded
ダイワメジャー(10位),サンデーサイレンス,スカーレットブーケ,スカーレットインク,ノーザンテースト,Wishing Well,Halo,Hail to Reason,Cosmah,understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consetida
キンシャサノキセキ(11位),フジキセキ,ケルトシャーン,Featherhill,Pleasant Colony,ミルレーサー,サンデーサイレンス,Halo,Wishing Well,Le Fabuleux,Marston's Mill,His Majesty,Sun Colony,Lyphard,Lady Berry
スクリーンヒーロー(12位),グラスワンダー,ランニングヒロイン,ダイナアクトレス,サンデーサイレンス,Ameriflora,Silver Hark,Roberto,Gris Vitesse,Danzig,Gracefui Touch,Halo,Wishing Well,ノーザンテースト,モデルスポート
モーリス(13位),スクリーンヒーロー,メジロフランシス,メジロモントレー,カーネギー,ランニングヒロイン,グラスワンダー,Silver Hawk,Ameriflora,サンデーサイレンス,ダイナアクトレス,Sadler's Wells,Detroit,モガミ,メジロクインシー
ゴールドシップ(14位),ステイゴールド,ポイントフラッグ,パストラリズム,メジロマックイーン,ゴールデンサッシュ,サンデーサイレンス,Halo,Wishing Well,ディクタス,ダイナサッシュ,メジロティターン,メジロオーロラ,プルラリズム,トクノエイティー
ドゥラメンテ(15位),キングカメハメハ,アドマイヤグルーヴ,エアグルーヴ,サンデーサイレンス,マンファス,Kingmambo,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Halo,Wishing Well,トニービン,ダイナカール
ブラックタイド(16位),サンデーサイレンス,ウインドインハーヘア,Burghclere,Alzao,Wishing Well,Halo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere
エイシンフラッシュ(17位),キングズベスト,ムーンレディ,Midnight Fever,プラティニ,Allegretta,Kingmambo,Mr. Prospector,Miesque,Lombard,Anatevka,Surumu,Parairie Darling,Sure Blade,Majoritat
クロフネ(18位),フレンチデピュティ,ブルーアヴェニュー,Eliza Blue,Classic Go Go,Mitterand,Deputy Minister,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Pago Pago,Classic Perfection,Icecapade,コレラ
ヴィクトワールピサ(19位),ネオユニヴァース,ホワイトウォーターアフェア,Much Too Risky,Machiavellian,ポインテッドパス,サンデーサイレンス,Halo,Wishing Well,Kris,Silken Way,Mr. Prospector,Coup de Folie,Bustino,Short Rations
ジャスタウェイ(20位),ハーツクライ,シビル,シャロン,Wild Again,アイリッシュダンス,サンデーサイレンス,Halo,Wishing Well,トニービン,ビューパーダンス,Icecapade,Bushel-n-peck,Mo Exception,Double Wiggle
ハービンジャー(21位),Dansili,Penang Pearl,Guapa,Bering,Hasili,デインヒル,Danzig,Razyana,Kahyasi,Kerali,Arctic Tern,Beaune,Shareef Dancer,Sauceboat
ゴールドアリュール(22位),サンデーサイレンス,ニキーヤ,Reluctant Guest,Nureyev,Wishing Well,Halo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Special,Hostage,Vaguely Royal
ディープブリランテ(23位),ディープインパクト,ラヴアンドバブルズ,バブルドリーム,Loup Sauvage,ウインドインハーヘア,サンデーサイレンス,Halo,Wishing Well,Alzao,Burghclere,Riverman,Louveterie,Akarad,バブルプロスペクター
シニスターミニスター(24位),Old Trieste,Sweet Minister,Sweet Blue,The Prime Ministr,Lovlier Linda,A.P. Indy,Seattle Slew,Weekend Surprise,Vigors,Linda Summers,Deputy Minister,Stick to Beauty,Hurry Up Blue,Sugar Gold
アイルハヴアナザー(25位),Flower Alley,Arch's Gal Edith,Force Five Gal,Arch,プリンセスオリビア,Distorted Humor,フォーティナイナー,Danzig's Beauty,Lycius,Dance Image,Kris S.,Aurora,Pleasant Tap,Last Cause
マジェスティックウォリアー(26位),A.P. Indy,Dream Supreme,Spining Round,Seeking the Gold,Weekend Surprise,Seattle Slew,Bold Reasoning,My Charmer,Secretariat,Lassie Dear,Mr. Prospector,Con Game,Dixieland Band,Take Heart
リオンディーズ(27位),キングカメハメハ,シーザリオ,キロフプリミエール,スペシャルウィーク,マンファス,Kingmambo,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida
サウスヴィグラス(28位),エンドスウィープ,ダーケストスター,Minnie Riperton,Star de naskra,Broom Dance,フォーティナイナー,Mr. Prospector,File,Dance Spell,Witching Hour,Naskra,Candle Star,Cornish Prince,English Harbor
ステイゴールド(29位),サンデーサイレンス,ゴールデンサッシュ,ダイナサッシュ,ディクタス,Wishing Well,Halo,hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ
